[2026-09-25 11:21:12.772] [S] {"sid": "20260925_112112", "sys_t": "2026-09-25T11:21:12.772310"}
[2026-09-25 11:21:12.785] [SESSION_RESET] {"msg": "--- NEW LIFE STARTED ---"}
[2026-09-25 11:21:12.836] [S] {"map": "Shadowgrid"}
[2026-09-25 11:21:12.851] [JACK] Ah, im Shadowgrid angekommen... endlich.
[2026-09-25 11:21:12.928] [SFX] {"sound": "guardian_move", "volume": 0.02}
[2026-09-25 11:21:12.993] [SFX] {"sound": "guardian_move", "volume": 0.03}
[2026-09-25 11:21:13.004] [SFX] {"sound": "civ_move_1", "volume": 0.06}
[2026-09-25 11:21:13.013] [SFX] {"sound": "guardian_move", "volume": 0.01}
[2026-09-25 11:21:13.046] [SFX] {"sound": "civ_move_2", "volume": 0.02}
[2026-09-25 11:21:13.047] [SFX] {"sound": "civ_move_1", "volume": 0.02}
[2026-09-25 11:21:13.058] [SFX] {"sound": "civ_move_2", "volume": 0.02}
[2026-09-25 11:21:13.070] [SFX] {"sound": "civ_move_1", "volume": 0.03}
[2026-09-25 11:21:13.084] [SFX] {"sound": "civ_move_1", "volume": 0.16}
[2026-09-25 11:21:13.094] [SFX] {"sound": "guardian_move", "volume": 0.01}
[2026-09-25 11:21:13.116] [SFX] {"sound": "civ_move_1", "volume": 0.05}
[2026-09-25 11:21:13.148] [SFX] {"sound": "guardian_move", "volume": 0.05}
[2026-09-25 11:21:13.159] [SFX] {"sound": "civ_move_2", "volume": 0.02}
[2026-09-25 11:21:13.160] [SFX] {"sound": "civ_move_1", "volume": 0.02}
[2026-09-25 11:21:13.171] [SFX] {"sound": "civ_move_2", "volume": 0.02}
[2026-09-25 11:21:13.183] [SFX] {"sound": "civ_move_1", "volume": 0.02}
[2026-09-25 11:21:13.200] [SFX] {"sound": "civ_move_1", "volume": 0.15}
[2026-09-25 11:21:13.224] [SFX] {"sound": "civ_move_1", "volume": 0.04}
